NONREDUNDANT ALL DATA;all;;;;;;;;;antiparallel;;;;;;;;;parallel;;;;;;;;;trimer;;;;;;;;;tetramer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;12969;77927;36847;13074,8;191,8;130,4;357,6;194,8;121,5812486;827,7898284;383,4846803;106,4786364;13,31164903;11,03630373;14,60479373;7,014271167;2143,4;11922,4;5860,8;2249,6;39,8;24,6;54,6;31,2;31,8166623;136,2251812;81,80281169;30,13801586;2,949576241;2,302172887;4,335896678;2,167948339;2986,2;16764,4;7479,6;2318;40,4;30,6;67;29,8;36,62239752;174,4313619;36,71239573;55,08175742;3,577708764;2,701851217;2,645751311;1,643167673;6278,2;36088,4;18452;6905,8;74,2;47,2;178,2;102;59,91410518;555,3902232;294,4817482;63,04918715;9,230384607;6,797058187;7,694153625;3,807886553;1394,8;10261,2;4445,8;1336,4;26,8;20,6;44,2;23,8;40,34476422;180,9245699;63,22341338;18,37933622;4,494441011;3,974921383;2,774887385;1,303840481
;e;30552,8;30088;45910,4;34647,8;219,2;172,8;433,8;274,4;256,5330388;311,909442;502,1247853;319,2063596;8,043631021;9,203260292;6,379655163;9,044335244;4783;4814,6;7024,8;5564;38,2;30,6;67,6;44;50,43312404;43,98636152;106,6452062;81,04319836;5,069516742;3,911521443;2,607680962;2,645751311;6792,4;5734,2;9495,8;7511;51;36,8;86,2;55;49,18129726;70,21894331;104,3944443;68,71317195;3,391164992;2,774887385;2,949576241;2,449489743;14620,8;15208,2;22033,6;16146,8;85,8;72,4;211;131;179,3800435;209,8063393;372,4571116;208,7670951;5,118593557;2,792848009;6,633249581;6,519202405;3433,4;3606,4;6282,4;4149,2;35;27;55,2;34,6;67,04326961;61,63440598;95,32733081;70,31856085;5,385164807;4,527692569;0,836660027;1,816590212
;f;31513,4;28274;47435,4;34166,2;150,8;121;464;296,8;238,9985356;247,7428102;550,0939011;332,5127065;7,259476565;7,176350047;10,93160555;10,05982107;5267,4;4686,8;7197,2;4992;22,8;18,6;80;49,8;68,92242015;68,24001758;78,48694159;62,10072463;1,303840481;1,140175425;2,549509757;1,923538406;6833,4;6159,4;9679,8;6882,8;40,2;34,6;92,2;53,4;62,17957864;59,70175877;120,206905;26,97591518;1,643167673;2,302172887;6,534523701;3,507135583;14755,6;13527,4;22457,6;17351,2;61,6;50;218,8;143,6;177,3324561;148,43955;376,5292817;248,1354469;6,188699379;5,958187644;11,5195486;7,569676347;3642,4;3291,6;6908;3690,8;22,4;14;59,8;43,2;54,20147599;64,16619047;133,7385509;47,2831894;1,516575089;1,224744871;2,48997992;2,387467277
;g;31936;31989;42024,2;35479,6;224,6;172,2;455,2;291,4;286,1773925;311,1679611;449,6901155;328,7381937;8,08084154;6,099180273;8,871302046;5,029910536;4952,8;5527,6;6311,8;5314,2;35;27,2;71,2;44,6;67,01268537;93,55372788;80,64552064;53,3872644;3,082207001;2,167948339;2,588435821;3,286335345;6497,8;6161,4;8508,6;8463;64,8;48;89,6;58,4;60,74290082;64,97922745;70,39389178;71,22850553;2,167948339;2,34520788;2,701851217;3,286335345;15017,8;15592,2;20751,2;16794,2;78,2;57,8;223,8;144,4;172,1124632;213,4436694;324,4906778;249,2402455;5,069516742;5,403702434;5,89067059;3,911521443;4496,8;3882,8;5459,2;3699,6;35;29,2;58,4;36,2;53,35447498;61,96127823;127,9402204;70,27303893;2,121320344;2,167948339;4,037325848;3,271085447
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ncoils;a;29916,2;96684,8;47319;9244,4;360,8;273;540;283;216,3208266;818,4074169;415,9897835;58,12314513;12,00833044;11,64044673;5,916079783;7,483314774;8155,8;20278,6;9335;2313,2;95,6;74,4;117,2;58;62,32335036;233,4594183;89,34203938;26,17632518;6,949820142;4,277849927;8,043631021;5,431390246;6876,8;20129,2;10115,4;1652,4;47;36,4;98,6;45,6;167,11882;279,6662296;186,8403061;44,90879647;5,522680509;4,722287581;3,646916506;1,949358869;11293;41787,6;21638,2;4152,4;160,2;123,2;249,6;144;78,66701977;581,9263699;243,929703;34,11451304;8,074651695;7,854934755;4,50555213;4,062019202;3590,6;14489,4;6229,6;1126,4;58;39;74,6;35,4;45,07549223;96,77448011;88,97078172;9,316651759;4,636809248;2,828427125;3,847076812;1,949358869
;b;37938;38231,8;60829,2;43780,6;269,2;211,4;596,8;388,8;328,647988;299,507429;498,8208095;361,7641497;9,176055798;6,841052551;7,328028384;6,180614856;8379,2;9080;13099,4;8850,2;68,8;56,4;123,6;78;104,4997608;82,01829064;131,00687;112,752827;3,492849839;3,049590136;7,127411872;5,338539126;7996;8358;12834,6;9168,6;46;34,6;109,6;76,6;180,0124996;127,6499119;182,6480222;199,8431885;3,937003937;3,507135583;3,435112807;2,966479395;16317,2;15339,4;25827,4;20353,2;117,2;92,4;270;173,2;182,0019231;174,3840589;307,6642651;218,8737079;7,758865897;4,5607017;7,245688373;8,043631021;5245,6;5454,4;9066,2;5408,6;37,2;28;93,6;61;37,61382724;56,43403229;93,11390874;56,78291997;4,604345773;3,674234614;5,770615219;3,082207001
;c;36419,4;37950;64723,4;40669,6;279;205,6;632,8;398;276,6962233;280,6750791;574,5835883;331,4578405;8,455767263;7,829431652;21,27674787;13,65650028;8082,2;9576,6;13662,2;7747,8;78,8;55,8;128;87,4;114,2484136;109,3494399;123,7626761;88,21394448;5,357238094;4,207136794;8,689073598;6,877499546;7715,6;8193,8;13580,6;8671,2;48,6;31,4;142,6;97;201,472827;83,22379467;200,4689502;193,972163;3,361547263;2,701851217;7,635443668;5,61248608;15843,4;14706,8;28079,6;18792,4;110,6;85,8;286,8;170,2;154,2021401;189,7648545;322,4047146;232,2612753;5,727128425;6,648308055;12,63724654;6,68580586;4777,4;5472,8;9400,2;5458,2;41;32,6;75,4;43,4;31,30974289;64,56547065;82,67224444;64,47635225;2,121320344;2,073644135;6,46529195;5,683308895
;d;16654,2;94010,2;52043,4;15875;281,6;201,6;461,2;242,8;119,8361381;769,2786881;443,4340988;139,9946428;13,50185172;11,9498954;12,49799984;7,56306816;4027,6;19681;11233;3773;75,8;54,6;90;48,4;47,41624194;198,9610515;137,133147;46,03259715;5,403702434;5,899152482;4,123105626;3,78153408;3913,2;20822,4;10565;2762;53,8;43;98,8;50;72,08467243;339,7944967;175,810978;92,64987858;6,300793601;5,099019514;4,147288271;1,870828693;6609,8;39587,2;23100,4;7507;119;79,4;212,2;109;50,06196161;499,5685138;262,5896038;75,71657678;4,898979486;4,159326869;10,94074952;6,745368782;2103,6;13918,8;7144,2;1833;33;24,6;60,2;35,4;18,03607496;125,7624745;74,01486337;18,85470763;4,301162634;2,966479395;3,834057903;2,073644135
;e;37999;38705,4;61270,2;41670,6;324,2;248,4;554,8;336,8;411,1417031;275,6035196;512,4175056;297,841065;3,898717738;6,655824517;7,56306816;7,886697661;8253;8879,6;12943,4;8841,6;78,8;59,2;103,4;68,8;89,24404742;96,94740842;113,2355951;117,8337812;4,7644517;3,193743885;3,646916506;2,683281573;8428;7338,6;12561,8;9814,4;57,6;44,6;133,8;83,2;157,0238835;99,95649053;217,4699979;204,0252435;3,130495168;2,701851217;7,328028384;4,969909456;16653,2;17249;26045,6;17389,8;140,6;109,4;238,4;138,4;238,1022889;186,3598669;315,7955035;192,0903433;3,78153408;3,577708764;4,615192304;3,361547263;4664,8;5237,4;9719,4;5624;47,2;35,2;79,2;46,4;76,68898226;34,48622914;96,4095431;39,49050519;2,863564213;3,1144823;5,263078947;3,78153408
;f;38727,4;39798,8;61336,8;40589,2;250,4;185,6;610;392,8;293,6797576;315,6734072;503,5376848;355,0030986;5,856620186;5,128352562;5,873670062;4,816637832;8776,4;9362,8;13111,4;7918,4;64,8;47;134,4;80,2;77,57125756;129,4940153;102,0896665;81,38058737;4,086563348;3,937003937;5,54977477;3,962322551;8570,6;8633,4;12579,8;8499,4;44;34,4;123,2;76,6;156,3739109;144,2178907;235,5009554;140,9407677;5,830951895;4,722287581;2,949576241;1,140175425;16321,6;16688,8;25360,8;19287,8;107,8;76,8;258;170,4;216,704407;180,7268657;320,6036494;218,8051645;2,48997992;0,836660027;8,602325267;5,07937004;5058,8;5113;10284,8;4882,8;33,8;27,4;94,4;65,6;56,21120885;40,55243519;111,5311616;49,93696026;1,303840481;1,140175425;1,949358869;1,949358869
;g;39304,8;43977;56244,2;43715,2;322,6;254,4;559,6;362,6;343,4082119;307,5589374;485,5056127;330,8159609;10,66770828;7,162401832;9,555103348;6,730527468;8172;11244;11539,4;8794,8;71;58,2;127,2;86,2;94,1992569;80,62257748;141,5355079;84,22707403;4,301162634;3,033150178;5,449770637;3,563705936;8347,8;8326,4;11369,2;10652,8;52,6;40,4;119,8;82,6;214,4789034;121,8556523;160,6726486;180,5012465;2,073644135;2,880972058;3,1144823;0,894427191;16308,4;18685,8;25044,4;18826,8;152,2;117;241,4;147;248,6308509;213,5970505;279,2029728;175,854201;8,757853618;5,61248608;6,46529195;4,69041576;6386,4;5664,8;8206,4;5367,8;46,8;38,8;70,4;46;53,14414361;65,98257346;78,468465;56,39326201;3,898717738;2,949576241;2,073644135;0,707106781
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paircoil;a;30089;93028,2;57781,4;9469,8;360,6;247;573,2;311,2;282,7604994;855,329001;603,486371;110,0054544;14,63898904;8,544003745;9,257429449;7,758865897;6657,6;15796;9467;1842,6;60,2;41,2;96,4;56,2;50,38154424;176,0355078;94,1328848;22,89759813;5,019960159;2,949576241;5,029910536;4,969909456;5864,4;16109,6;9697,4;1482,6;54,6;47,4;80,8;39,4;123,4657847;154,9525734;90,01277687;18,88915032;3,049590136;2,073644135;4,604345773;2,880972058;13931,2;48137,4;31146,6;4958,2;195,2;126,2;306,8;175,4;106,5678188;498,5938227;323,1103527;58,47392581;12,0913192;9,833615815;3,492849839;5,727128425;3635,8;12985,2;7470,4;1186,4;50,6;32,2;89,2;40,2;59,91410518;200,7876988;120,3901989;23,15815191;4,159326869;3,492849839;5,167204273;3,193743885
;b;36524,2;45274,4;68407,8;40854,2;334,6;250;631,6;394,2;330,0593886;419,0468948;698,9661651;434,146519;7,26636085;6,041522987;12,58173279;9,257429449;6517,2;8691,2;11996,6;6696;64;45,4;131,2;79,4;62,0056449;73,39754764;109,5002283;81,90238092;5,656854249;4,335896678;4,816637832;4,827007354;6497,2;7852,2;11441,6;7424,8;63,8;52,2;111,6;69,8;76,43101465;43,46492839;130,2950498;119,7672743;4,324349662;3,701351105;6,348228099;3,1144823;18749,4;22545,2;35329,8;21892,2;159,2;117,2;303,2;194,6;196,6463831;224,9148728;340,353052;203,6140958;3,563705936;4,324349662;8,105553652;6,949820142;4760,4;6185,8;9639,8;4841,2;47,6;35,2;85,6;50,4;55,84621742;97,2687;188,7821496;80,24151045;4,722287581;4,324349662;3,286335345;3,209361307
;c;35156,2;43355,4;70305,8;42440,2;313,6;235,4;624,4;378,2;289,2156635;326,0595038;761,7904568;414,7483574;14,38054241;10,59716943;12,11610498;6,260990337;6272;8836;12368,4;6527,6;66;46,6;107;70,4;65,71529502;88,06531667;99,8188359;74,95865527;5,656854249;4,827007354;5,431390246;4,159326869;6602,8;7511;11692,6;7510;46,8;33;111,6;60,6;80,4903721;37,99342048;121,0198331;115,9202312;4,868264578;3,741657387;7,602631123;6,655824517;17889,8;20926,4;36579;23094,8;161;121,4;324,6;192,8;151,8690225;174,5474148;404,4304637;190,1189102;7,745966692;4,722287581;12,46194206;8,555699854;4391,6;6082;9665,8;5307,8;39,8;34,4;81,2;54,4;65,41635881;73,75296604;185,6992192;92,25074525;5,449770637;4,50555213;2,863564213;1,949358869
;d;16391,6;95286,8;60139,2;18154;346,2;244,2;529,6;304,6;148,8851907;933,1881911;554,3921897;207,4150428;15,61089363;11,25610945;15,43696861;11,05893304;2996,6;16781;10530,6;3545;75,8;62,6;90,8;56;39,61439132;161,2560076;86,39039298;35,87478223;4,65832588;4,393176527;2,949576241;1,224744871;3335,8;17459;9733,8;2684,2;60,8;42,2;80,8;47;32,99545423;187,9507914;77,36730576;64,42592646;3,271085447;2,167948339;2,387467277;2;8004;48072,6;31692,8;9877;168,6;111,2;294,6;166;105,1070882;505,3387972;279,8413836;97,09273917;12,81795616;7,259476565;12,21883792;9,407443861;2055,2;12974,2;8182;2047,8;41;28,2;63,4;35,6;32,38363784;200,3951097;160,129635;30,07823133;1,870828693;0,447213595;2,966479395;1,140175425
;e;37118,6;46117,2;67522,2;40396;410,8;305,4;595;358,8;383,6239044;396,7413515;693,1768894;376,2678567;2,863564213;6,348228099;8,426149773;8,700574694;6411,6;8779,6;11810,8;7055,2;85;63,2;116,6;69,2;54,55547635;83,66779548;97,44844791;93,52112061;2,121320344;2,049390153;5,594640292;5,630275304;7231,6;7103,2;11208,2;7843;66,2;47,6;103;66,2;91,74584459;67,66978646;132,5394281;88,51271095;6,140032573;6,066300355;8,276472679;5,118593557;18982,4;24311,6;34697,2;20336,2;210,2;158,6;296,4;172,4;205,1250838;218,6899632;331,6424279;164,0204256;3,346640106;4,159326869;5,029910536;5,899152482;4493;5922,8;9806;5161,6;49,4;36;79;51;92,30113759;76,57806474;169,2631088;73,70074626;4,5607017;2,915475947;2,549509757;2,828427125
;f;40706,4;45195,4;67792,4;38013;335,6;261,4;614,2;375,8;367,8597559;410,5530416;718,055917;318,8361648;13,50185172;11,08151614;6,760177512;3,701351105;7534,2;8708,8;11784,2;6073,4;58;45,2;110,2;64,4;55,92584376;75,95854132;137,2705358;59,79381239;2,549509757;2,774887385;4,147288271;4,615192304;7456,8;7854,2;11223,6;6832,4;54,8;46,2;99;53;98,54795787;109,5111866;113,2510486;53,56584733;2,949576241;4,024922359;5,830951895;5,14781507;20772;23127,4;34123;20737;182,6;140,6;318;201,2;197,1078385;210,6758173;368,1338072;147,9915538;7,635443668;4,335896678;10,31988372;6,870225615;4943,4;5505;10661,6;4370,2;40,2;29,4;87;57,2;92,29192814;75,5579248;167,8475499;72,96026316;5,357238094;4,335896678;3,31662479;3,563705936
;g;38555;50796,6;62716,8;39335,6;361;273,2;609,8;365,6;438,927101;394,5767352;619,2719112;388,5142211;10,79351657;8,228000972;11,30044247;8,203657721;6300,6;10196,2;11123,2;6313,2;56,6;37;109,2;71,6;95,94946587;74,99799997;125,9869041;55,39133506;2,880972058;2,828427125;4,086563348;3,361547263;6743,2;7948,4;10221,8;8331,2;65;51,2;89,8;58,2;90,4831476;79,31141154;99,05907328;90,8085899;5,244044241;5,89067059;2,774887385;1,923538406;19545,2;26496;32734,4;20032;185,6;142;331,2;189,2;220,6053037;200,5554786;324,1655441;196,6112916;7,436396977;5,787918451;7,726577509;6,534523701;5966;6156;8637,4;4659,2;53,8;43;79,6;46,6;106,3790393;77,7913877;131,5363068;84,8746134;4,868264578;2,915475947;3,435112807;2,302172887
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REDUNDANT ALL DATA;;all;;;;;;;;antiparallel;;;;;;;;;parallel;;;;;;;;;trimer;;;;;;;;;tetramer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;register;positive;negative;hydrophobic;other;dm;physico-chemical change DM;pm;physico-chemical change PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcoil;a;121066;35236;14456;60324;411;294;632;352;a;17874;6962;2534;8444;61;41;99;54;a;25427;8482;2703;13416;135;95;136;76;a;56817;15338;7473;30086;141;104;296;169;a;16431;3647;1526;7272;66;49;73;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;45755;49278;59501;76458;309;246;745;485;b;7611;7802;8862;11486;43;33;108;64;b;10426;10447;12603;16451;101;84;169;109;b;20805;23323;29162;36414;111;91;346;230;b;5917;6135;6629;10231;47;33;98;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;47745;44686;58757;79918;309;223;760;479;c;8684;7203;8179;11831;53;37;114;74;c;10252;9946;12591;17186;86;68;166;106;c;21595;20923;28736;38394;114;86;358;223;c;6159;5248;7068;10461;42;25;95;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;128271;20599;21203;60172;395;274;549;302;d;19486;3363;3574;9343;63;41;78;47;d;28475;4807;3993;12546;122;93;120;60;d;58479;9913;11002;29818;142;89;263;148;d;16913;2249;2215;7460;53;41;66;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;49380;50245;56848;74411;431;344;690;432;e;7805;7760;8890;11319;72;59;100;63;e;9690;11406;12900;15854;126;98;152;97;e;24704;23761;25990;35205;156;127;331;206;e;5988;5711;6968;10250;58;46;85;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;46314;51822;55853;77128;297;232;734;472;f;7583;8560;7965;11617;41;32;128;85;f;10309;11629;11720;16201;89;75;156;97;f;21949;23904;27918;36026;122;94;338;215;f;5464;6027;6194;11276;39;27;91;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;52556;52442;57620;68662;449;351;734;476;g;9001;8028;8543;10097;62;45;109;68;g;10508;11024;14121;14295;160;125;154;102;g;25288;24252;26847;33608;149;114;344;227;g;6388;7498;6105;8966;61;53;105;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ncoils;a;161113;49722;14988;78663;679;498;838;436;a;33913;13645;3784;15625;168;127;185;89;a;33960;11678;2707;17075;120;91;154;76;a;69114;18450;6666;35682;269;202;379;215;a;24126;5949;1831;10279;122;78;120;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;63846;63584;72619;100589;522;418;958;607;b;15146;14064;14776;21902;134;109;190;124;b;14244;13606;15527;21364;104;84;195;128;b;25372;27153;33322;42365;204;166;425;263;b;9084;8761;8994;14954;80;59;148;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;62960;60467;68099;107457;526;397;1073;673;c;15983;13541;12868;22966;144;109;225;151;c;13696;12946;14942;22804;104;74;236;157;c;24084;26086;31112;46259;199;156;482;293;c;9197;7893;9177;15425;79;58;130;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;156958;27129;26158;86799;570;404;727;383;d;33132;6651;6195;18804;130;89;144;80;d;35398;6362;4764;17704;120;92;153;84;d;65367;10703;12118;38347;228;152;340;170;d;23059;3413;3081;11942;92;71;90;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;64546;63302;69146;101596;619;478;874;543;e;14825;13748;14648;21821;148;115;167;110;e;12385;14107;16699;21199;128;102;211;135;e;28589;27636;28477;42555;234;181;369;220;e;8746;7811;9321;16019;109;80;127;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;66564;64799;67167;101319;471;356;984;639;f;15801;14720;13162;21758;115;87;221;137;f;14653;14599;14220;21086;99;78;213;134;f;27521;26992;31655;41620;186;138;412;269;f;8588;8487;8128;16855;71;53;138;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;73205;65731;72079;93366;628;487;942;616;g;18750;13643;14768;19176;130;101;211;146;g;14141;14100;17753;19247;121;90;196;135;g;30830;27085;30619;41202;266;206;395;246;g;9363;10744;8818;13577;111;90;139;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paircoil;a;155373;49651;15268;96265;706;492;935;509;a;26486;10918;2975;15797;105;72;156;87;a;27262;9900;2402;16323;125;100;136;74;a;79930;22882;7939;51766;363;247;509;290;a;21695;5951;1952;12379;113;73;134;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;75616;60960;67527;113404;641;486;1023;652;b;14526;10696;11141;19962;126;91;203;128;b;13362;10974;12487;19181;131;108;183;111;b;37350;31400;35929;58274;295;222;503;331;b;10378;7890;7970;15987;89;65;134;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;71926;58368;70779;116711;594;439;1066;664;c;14657;10274;11002;20554;117;83;179;119;c;12586;11092;12857;19591;108;80;192;113;c;34682;29696;38041;60536;297;218;568;352;c;10001;7306;8879;16030;72;58;127;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d;158791;26879;29895;100192;655;463;851;490;d;28019;4933;5746;17562;123;100;151;94;d;29657;5414;4648;16201;124;92;127;73;d;79581;13195;16110;52740;320;211;472;273;d;21534;3337;3391;13689;88;60;101;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;e;77018;61871;66901;111953;763;568;981;601;e;14585;10753;11677;19585;143;106;183;106;e;11960;11953;13418;18818;152;113;174;107;e;40598;31690;33436;57138;359;270;497;305;e;9875;7475;8370;16412;109;79;127;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;f;75275;67787;63174;112220;586;453;1006;627;f;14654;12488;10026;19503;106;78;179;110;f;13078;12719;11549;18735;95;81;170;95;f;38419;34314;34308;56439;307;234;528;334;f;9124;8266;7291;17543;78;60;129;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;g;84765;64225;64756;104258;735;550;1008;621;g;17106;10426;10491;18420;105;71;181;116;g;13509;11482;13858;17120;143;110;145;95;g;43943;32473;32723;54291;369;282;554;334;g;10207;9844;7684;14427;118;87;128;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NONRED ALL DATA;DM rel freq;;PM rel freq;;DM rel freq;;PM rel freq;;DM rel freq;;PM rel freq;;DM rel freq;;PM rel freq;;DM rel freq;;PM rel freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;0,001789934;;0,002939432;;0,002000163;;0,00293663;;0,001459464;;0,002489017;;0,001755159;;0,003037075;;0,002152825;;0,003155982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;0,001431941;;0,003304732;;0,001518369;;0,00343441;;0,001400619;;0,003155777;;0,001360511;;0,00325317;;0,001656375;;0,003614647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c;0,001413701;;0,003320292;;0,001757714;;0,003198112;;0,00122794;;0,003330645;;0,00128544;;0,003427619;;0,001564046;;0,003139165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d;0,001597228;;0,00262646;;0,002005721;;0,002415858;;0,001491143;;0,002433183;;0,001484003;;0,002817144;;0,001526653;;0,002451292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e;0,001810113;;0,003057082;;0,002065649;;0,002950325;;0,001648281;;0,003161085;;0,001712421;;0,003036036;;0,00198752;;0,003110294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
f;0,001383037;;0,003288807;;0,001445534;;0,003389753;;0,001312997;;0,003188136;;0,001361571;;0,003241176;;0,001459897;;0,003469717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g;0,001755934;;0,003122417;;0,001715885;;0,003123399;;0,001789282;;0,002962863;;0,00164706;;0,003183045;;0,002088092;;0,003083297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NONRED RANDOM SAMPLING;Mean DM rel freq;Std DM rel freq;Mean PM rel freq;Std PM rel freq;Mean DM rel freq;Std DM rel freq;Mean PM rel freq;Std PM rel freq;Mean DM rel freq;Std DM rel freq;Mean PM rel freq;Std PM rel freq;Mean DM rel freq;Std DM rel freq;Mean PM rel freq;Std PM rel freq;Mean DM rel freq;Std DM rel freq;Mean PM rel freq;Std PM rel freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;0,001775927;7,39383E-05;0,002945705;5,44198E-05;0,001972742;0,000165976;0,002951809;0,000219849;0,001470266;9,91757E-05;0,002561853;0,0001222;0,001756285;0,000130936;0,003034345;6,45977E-05;0,002068135;0,000179723;0,003107459;0,000203845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;0,001446785;4,08628E-05;0,003326848;6,2447E-05;0,001545213;0,000146647;0,003415702;0,000192353;0,001477448;9,43324E-05;0,003184037;0,000140452;0,001372399;6,72823E-05;0,003271635;0,000102039;0,001570334;0,000175777;0,003673243;0,000218926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c;0,001411323;6,09219E-05;0,003341595;0,000101305;0,001747742;0,000140225;0,003222576;0,000214342;0,001257184;0,000113282;0,003342976;0,000176876;0,001276609;7,28752E-05;0,003433852;0,000127816;0,001538051;0,000133624;0,003241835;0,000212076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d;0,001587094;8,41038E-05;0,002636597;8,49859E-05;0,001997238;0,000136729;0,002489657;0,000129716;0,001537113;0,000128369;0,002432001;9,01279E-05;0,001457215;0,000110449;0,002803708;0,000127064;0,001493349;0,00016795;0,002484227;0,000143311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e;0,00183538;3,12165E-05;0,003091081;4,37875E-05;0,002080789;0,000137736;0,003042486;0,000125172;0,001739947;0,000126936;0,003170575;0,000179965;0,001739117;5,27317E-05;0,003066507;6,9455E-05;0,001939687;0,000200443;0,0031363;0,000118934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
